tank1,tank2,tank3,target
37.454010,190.142860,73.199390,0
59.865850,31.203730,15.599450,2
5.808360,173.235230,60.111500,0
70.807260,4.116900,96.990990,1
83.244260,42.467820,18.182500,2
18.340450,60.848450,52.475640,0
43.194500,58.245830,61.185290,0
13.949390,58.428930,36.636180,0
45.607000,157.035190,19.967380,2
51.423440,118.482910,4.645040,2
60.754490,34.104820,6.505160,2
94.888550,193.126410,80.839730,3
30.461380,19.534420,68.423300,1
44.015250,24.407650,49.517690,1
3.438850,181.864080,25.878000,0
66.252230,62.342220,52.006800,3
54.671030,36.970890,96.958460,1
77.513280,187.899790,89.482740,3
59.790000,184.374850,8.849250,2
19.598290,9.045460,32.533030,1
38.867730,54.269810,82.873750,0
35.675330,56.186900,54.269610,0
14.092420,160.439400,7.455060,2
98.688690,154.448950,19.871570,2
0.552210,163.092290,70.685730,0
72.900720,154.254070,7.404470,2
35.846570,23.173810,86.310340,1
62.329810,66.179600,6.355840,2
31.098230,65.036660,72.960620,0
63.755750,177.442550,47.221490,2
11.959420,142.648960,76.078500,0
56.127720,154.193440,49.379560,2
52.273280,85.508200,2.541910,2
10.789140,6.285840,63.641040,1
31.435600,101.714140,90.756650,0
24.929220,82.076580,75.555110,0
22.879820,15.395980,28.975150,1
16.122130,185.939530,80.812040,0
63.340380,174.292120,80.367210,3
18.657010,178.511800,53.934220,0
80.744020,179.218260,31.800350,2
11.005190,45.587030,42.710780,0
81.801480,172.146120,0.695210,2
51.074730,83.482200,22.210780,2
11.986540,67.523030,94.290970,0
32.320290,103.758120,70.301900,0
36.362960,194.356420,96.244730,0
25.178230,99.449700,30.087830,0
28.484050,7.377390,60.956430,1
50.267900,10.295750,27.864650,1
90.826590,47.912380,14.489490,2
48.945280,197.130090,24.205530,2
67.213550,152.323920,23.763750,2
72.821630,73.556630,63.230580,3
63.352970,107.154940,9.028980,2
83.530250,64.156010,18.651850,2
4.077510,118.178590,67.756440,0
1.658780,102.418610,22.649580,0
64.517280,34.873290,69.093770,1
38.673530,187.346000,13.752090,2
34.106640,22.694700,92.469360,1
87.733940,51.588330,65.998400,1
81.722220,111.040160,52.965060,3
24.185230,18.620550,89.721580,1
90.041810,126.620290,33.902980,2
34.920960,145.191140,89.711030,0
88.708640,155.975110,64.203160,3
8.414000,32.325740,89.855420,0
60.642910,1.839410,10.147150,1
66.350180,1.012320,16.080810,1
54.873380,138.379040,65.196130,3
22.426930,142.435840,23.724910,0
32.539970,149.298280,64.963290,0
84.922340,131.522580,56.830860,3
9.367480,73.543160,26.520240,0
24.398960,194.602110,39.309770,0
89.204660,126.227730,79.481130,3
50.263710,115.380780,49.251770,2
19.524300,144.490420,28.077240,0
2.431600,129.094460,17.711070,0
94.045860,190.785720,91.486440,3
37.015870,3.091320,92.831860,1
42.818410,193.330960,96.362000,0
85.300950,58.889780,38.509770,2
85.113670,63.384400,16.949270,2
55.680130,187.230950,69.602980,3
57.006120,19.435300,61.500720,1
99.005390,28.016800,51.832970,1
87.737310,148.153720,69.701570,3
70.248410,71.898230,29.359180,2
80.936120,162.022680,86.707230,3
91.324060,102.268480,50.151630,3
79.829520,129.992790,70.196690,3
79.579270,178.001070,33.799520,2
37.558300,18.796390,57.828010,1
3.594230,93.119600,54.264460,0
28.654130,118.166650,3.050020,2
3.734820,164.520110,36.019060,0
12.706050,104.448650,76.999360,0
21.582100,124.578100,8.534750,2
5.168170,106.270930,54.063510,0
63.742990,145.218270,97.585210,3
51.630030,64.591290,79.518620,3
27.083230,87.794280,7.845640,2
2.535070,192.529680,83.598010,0
69.597420,81.790590,17.329430,2
15.643700,50.048580,54.922670,0
71.459590,132.039480,27.993390,2
95.486530,147.579380,55.435410,3
61.172070,83.920010,24.773100,2
35.597270,151.569220,1.439350,2
11.607260,9.200530,4.072880,2
85.546060,140.731570,47.417380,2
9.783420,98.323180,47.347180,0
17.320190,86.770330,39.850470,0
61.585010,127.018730,4.530400,2
37.461260,125.171980,50.313630,0
85.648980,131.738730,16.293440,2
7.056870,128.483860,2.651130,2
58.577560,188.046050,57.547420,3
38.816990,128.657640,45.825290,0
54.561680,188.292960,38.610260,2
96.119060,181.070130,19.579110,2
6.936130,20.155600,1.822180,2
9.444300,136.601350,7.118860,2
31.897560,168.975060,2.327190,2
81.446850,56.370950,11.816480,2
69.673720,125.788570,87.747200,3
73.507100,160.696190,28.203460,2
17.743950,150.122950,80.683470,0
99.050510,82.523540,37.201810,2
77.641300,68.160710,93.075730,1
85.841280,85.798810,75.087110,3
