step,stock0,stock1,stock2,stock3,stock4
0,89.044,100.269,29.642,105.151,89.449
1,72.544,96.269,19.142,151.151,55.449
2,56.044,92.269,8.642,197.151,21.449
3,39.544,88.269,68.142,113.151,117.449
4,23.044,84.269,57.642,159.151,83.449
5,6.544,80.269,47.142,205.151,49.449
6,60.044,76.269,36.642,251.151,15.449
7,43.544,72.269,26.142,167.151,51.449
8,27.044,68.269,15.642,213.151,17.449
9,10.544,64.269,75.142,129.151,113.449
10,64.044,60.269,64.642,175.151,79.449
11,47.544,56.269,54.142,221.151,45.449
12,31.044,52.269,43.642,137.151,81.449
13,14.544,48.269,33.142,183.151,47.449
14,0.000,44.269,22.642,99.151,83.449
15,53.500,40.269,12.142,145.151,49.449
16,37.000,36.269,1.642,191.151,15.449
17,20.500,32.269,61.142,107.151,111.449
18,4.000,28.269,50.642,153.151,77.449
19,57.500,24.269,40.142,199.151,43.449
20,41.000,150.269,29.642,115.151,79.449
21,24.500,146.269,19.142,161.151,45.449
22,8.000,142.269,8.642,207.151,11.449
23,0.000,138.269,68.142,123.151,107.449
24,53.500,134.269,57.642,169.151,73.449
25,37.000,130.269,47.142,215.151,39.449
26,20.500,126.269,36.642,131.151,75.449
27,4.000,122.269,26.142,177.151,41.449
28,57.500,118.269,15.642,223.151,7.449
29,41.000,114.269,75.142,139.151,103.449
