iteration,discreward
0,-1.8496139365
20,-1.1657467280
40,-0.8357755725
60,-0.8217773165
80,-0.4913938625
100,-0.4232455529
120,-0.2783746806
140,-0.2668870064
160,-0.1215652961
180,-0.1585315704
200,-0.1080052376
220,-0.1042615913
240,-0.1371039276
260,-0.0716963598
280,-0.0667308705
300,-0.0700659747
320,-0.0606329471
340,-0.0496275078
360,-0.0803782699
380,-0.0582661207
400,-0.0999029222
420,-0.0626713934
440,-0.0759656409
460,-0.0477608827
480,-0.0749432885
500,-0.0824703013
520,-0.0602974376
540,-0.0561361571
560,-0.0886210471
580,-0.0546914793
600,-0.0383264453
620,-0.0429955615
640,-0.0572174644
660,-0.1083749876
680,-0.0612163361
700,-0.0448069788
720,-0.0248198996
740,-0.0797196873
760,-0.0365665205
780,-0.0498724081
800,-0.0544065145
820,-0.0428186933
840,-0.0699695686
860,-0.0631307168
880,-0.0412009181
900,-0.0825023748
920,-0.0660779671
940,-0.0695730353
960,-0.0529419955
980,-0.0473632383
1000,-0.0509342711
1020,-0.1073366267
1040,-0.0727409426
1060,-0.0507371852
1080,-0.1000489988
1100,-0.0747414076
1120,-0.0432392973
1140,-0.0293972447
1160,-0.0354511619
1180,-0.0540826854
1200,-0.0636642647
1220,-0.0361883397
1240,-0.0404734931
1260,-0.0559342583
1280,-0.0641924043
1300,-0.0560925121
1320,-0.1105008085
1340,-0.0788307419
1360,-0.0772937814
1380,-0.0576157106
1400,-0.0718996703
1420,-0.0395098615
1440,-0.0397754195
1460,-0.0537980749
1480,-0.0328010354
1500,-0.0376540261
1520,-0.0257022969
1540,-0.0514776199
1560,-0.0553838375
1580,-0.0598282286
1600,-0.0553230560
1620,-0.0654888145
1640,-0.0322449854
1660,-0.0506335833
1680,-0.0475285017
1700,-0.0552986638
1720,-0.0566089252
1740,-0.0192326588
1760,-0.0408039112
1780,-0.0323253478
1800,-0.0687187321
1820,-0.0552045938
1840,-0.0365507704
1860,-0.0359788407
1880,-0.0369814305
1900,-0.0360476484
1920,-0.0517304216
1940,-0.1030868602
1960,-0.0513148302
1980,-0.0382557491
2000,-0.0398273975
2020,-0.0540113500
2040,-0.0541064642
2060,-0.0608095122
2080,-0.0782233166
2100,-0.0858213113
2120,-0.0512823805
2140,-0.0328908120
2160,-0.0448728288
2180,-0.0659464767
2200,-0.0528770138
2220,-0.0543466431
2240,-0.0678965568
2260,-0.0409120464
2280,-0.0440868347
2300,-0.0712036815
2320,-0.0694670752
2340,-0.0588551293
2360,-0.0433305972
2380,-0.0454620021
2400,-0.0798681487
2420,-0.0364609212
2440,-0.0489218457
2460,-0.1107084900
2480,-0.0370066141
2500,-0.0623887359
2520,-0.0392185177
2540,-0.0695488419
2560,-0.0903974089
2580,-0.0534663878
2600,-0.0582443853
2620,-0.0284927084
2640,-0.0267132054
2660,-0.0535760311
2680,-0.0693657831
2700,-0.0448671457
2720,-0.0377538228
2740,-0.1536329744
2760,-0.0357050040
2780,-0.0549525066
2800,-0.0337906578
2820,-0.0457825530
2840,-0.0366510163
2860,-0.1148120503
2880,-0.0529084659
2900,-0.0614544429
2920,-0.0741297820
2940,-0.0455868428
2960,-0.0445872797
2980,-0.0486915759
3000,-0.0768802672
3020,-0.0606315150
3040,-0.0641299269
3060,-0.0455066844
3080,-0.0377611327
3100,-0.0930918112
3120,-0.0319392674
3140,-0.0399738281
3160,-0.0321675859
3180,-0.0379868749
3200,-0.0415173924
3220,-0.0651886870
3240,-0.0536140561
3260,-0.0609723640
3280,-0.0464458614
3300,-0.0510482138
3320,-0.0690772942
3340,-0.0360660697
3360,-0.0402526979
3380,-0.0398163677
3400,-0.0483142121
3420,-0.0657264729
3440,-0.0394172548
3460,-0.0978941428
3480,-0.0413380084
3500,-0.0724111915
3520,-0.0515262437
3540,-0.0525728374
3560,-0.0375662285
3580,-0.0469634635
3600,-0.0498256118
3620,-0.0508128479
3640,-0.0540201202
3660,-0.0398208143
3680,-0.0697198143
3700,-0.0286229365
3720,-0.0264260719
3740,-0.0557622661
3760,-0.0515181373
3780,-0.0366250563
3800,-0.0434495629
3820,-0.0343406864
3840,-0.0358674087
3860,-0.0333663756
3880,-0.0372380296
3900,-0.1436915762
3920,-0.1259898167
3940,-0.0368861422
3960,-0.0367087376
3980,-0.0494240790
4000,-0.0484653501
4020,-0.0467851718
4040,-0.0590623483
4060,-0.0733841165
4080,-0.0402040227
4100,-0.0436036414
4120,-0.0366400315
4140,-0.0287785185
4160,-0.0200462707
4180,-0.0575082118
4200,-0.0615113572
4220,-0.0726761269
4240,-0.0489716348
4260,-0.0514989298
4280,-0.0157245851
4300,-0.0503664897
4320,-0.0225167533
4340,-0.0303234321
4360,-0.0379218684
4380,-0.0117751287
4400,-0.0356365119
4420,-0.0660616974
4440,-0.0745035950
4460,-0.0549753503
4480,-0.0314853480
4500,-0.0444191097
4520,-0.0322550421
4540,-0.0320580152
4560,-0.0211898427
4580,-0.0221755376
4600,-0.0439355339
4620,-0.0451108025
4640,-0.0341217910
4660,-0.0508956101
4680,-0.0439635207
4700,-0.0319146574
4720,-0.0490310281
4740,-0.0302201542
4760,-0.0522411913
4780,-0.0597030475
4800,-0.0552563025
4820,-0.1057915648
4840,-0.0638477211
4860,-0.0829690532
4880,-0.0559130661
4900,-0.1093774818
4920,-0.0436826117
4940,-0.0225392106
4960,-0.0543855578
4980,-0.0299787701
