step,stock0,stock1,stock2,stock3,stock4,stock5,stock6,stock7,stock8,stock9,stock10,stock11
0,4.522,160.808,29.928,243.262,146.102,153.443,234.013,344.861,149.738,197.373,99.850,127.334
1,0.000,156.853,19.544,160.187,112.476,281.851,228.079,261.786,118.584,185.505,82.048,184.643
2,0.000,152.667,78.557,202.290,76.898,195.523,221.801,173.888,85.623,172.948,273.213,107.733
3,0.000,148.699,68.141,118.960,113.170,323.681,215.849,90.559,54.374,161.044,255.356,164.819
4,53.194,144.625,57.446,33.402,78.539,239.651,209.737,215.001,152.290,148.821,237.022,89.956
5,37.233,140.755,47.289,82.145,45.649,159.845,203.933,343.744,191.819,137.213,219.610,18.856
6,20.883,136.792,36.884,0.000,81.959,288.097,197.988,260.510,160.606,125.322,201.774,76.026
7,75.416,133.042,27.041,0.000,50.087,210.760,192.363,181.766,131.077,244.073,184.901,217.126
8,59.216,129.115,16.733,0.000,86.707,339.764,186.473,99.297,100.151,232.292,167.229,274.966
9,43.931,125.409,77.005,52.181,55.208,263.334,180.914,21.478,70.969,221.175,360.553,206.874
10,28.958,121.780,67.478,0.000,24.356,188.472,175.470,155.255,172.385,210.286,344.220,140.178
11,13.838,118.114,57.855,0.000,63.199,322.869,169.971,78.277,143.519,199.289,327.724,202.823
12,0.000,114.343,47.957,50.814,31.147,245.097,164.315,209.091,183.824,187.977,310.756,133.535
13,0.000,110.307,37.362,0.000,66.840,371.851,158.261,124.332,152.039,175.868,292.593,189.371
14,0.000,106.183,26.537,43.395,31.785,286.792,152.075,247.726,189.562,163.496,274.035,113.591
15,0.000,102.112,15.850,0.000,67.181,412.827,145.968,162.235,157.503,151.283,255.715,168.786
16,0.000,98.052,75.193,44.740,32.672,329.090,139.878,76.975,125.530,139.103,447.445,94.184
17,54.046,94.184,65.040,0.000,0.000,249.318,134.077,205.752,225.072,127.500,430.041,23.114
18,37.940,90.280,54.791,0.000,36.812,378.788,128.220,123.759,194.324,115.787,412.471,81.369
19,21.764,86.358,44.497,0.000,3.481,297.911,122.338,41.411,163.444,234.023,394.825,219.315
20,4.672,82.215,33.621,42.987,0.000,212.453,116.123,164.398,200.814,221.592,376.179,143.179
21,0.000,78.498,23.864,0.000,38.406,345.791,110.547,86.343,171.543,210.441,359.453,204.880
22,0.000,74.267,12.757,41.148,2.442,258.526,104.201,207.491,208.224,197.748,340.413,127.135
23,0.000,70.637,3.229,0.000,41.588,393.658,98.756,131.262,179.638,186.859,324.078,190.435
24,0.000,66.546,62.490,44.091,6.815,309.283,92.620,45.353,147.422,174.586,515.669,115.265
25,54.648,62.825,52.721,0.000,0.000,232.524,87.037,177.199,248.114,163.421,498.922,46.879
26,37.251,58.607,41.650,0.000,34.151,355.538,80.711,88.631,214.901,150.768,479.943,99.383
27,21.533,54.797,31.647,49.980,1.762,276.947,74.995,218.611,254.894,139.337,462.796,29.365
28,4.135,50.579,20.576,0.000,35.913,399.959,68.669,130.042,221.680,126.684,443.817,81.867
29,58.337,46.749,10.522,0.000,3.358,320.966,62.924,49.612,191.519,245.194,426.582,221.491
