step,stock0,stock1,stock2,stock3,stock4
1,71.382,101.377,63.372,798.085,101.446
2,54.882,97.377,52.872,714.085,67.446
3,38.382,93.377,42.372,630.085,33.446
4,21.882,89.377,31.872,546.085,69.446
5,75.382,85.377,21.372,462.085,35.446
6,58.882,81.377,10.872,378.085,71.446
7,42.382,77.377,70.372,294.085,37.446
8,25.882,73.377,59.872,210.085,73.446
9,9.382,69.377,49.372,126.085,39.446
10,62.882,65.377,38.872,42.085,5.446
11,46.382,61.377,28.372,0.000,41.446
12,29.882,57.377,17.872,0.000,77.446
13,13.382,53.377,77.372,0.000,43.446
14,66.882,49.377,66.872,0.000,9.446
15,50.382,45.377,56.372,0.000,45.446
16,33.882,41.377,45.872,0.000,81.446
17,17.382,37.377,35.372,0.000,47.446
18,70.882,33.377,24.872,0.000,13.446
19,54.382,29.377,14.372,0.000,109.446
20,37.882,95.377,3.872,0.000,75.446
21,21.382,91.377,63.372,0.000,41.446
22,74.882,87.377,52.872,0.000,7.446
23,58.382,83.377,42.372,0.000,43.446
24,41.882,79.377,31.872,0.000,79.446
25,25.382,75.377,21.372,0.000,45.446
26,8.882,71.377,10.872,0.000,81.446
27,62.382,67.377,0.372,0.000,47.446
28,45.882,63.377,0.000,0.000,83.446
29,29.382,59.377,59.500,0.000,49.446
30,12.882,55.377,49.000,0.000,85.446
