episode,discreward
100,-19.2952927243
200,-19.8926448124
300,-18.9533241631
400,-14.9629324754
500,-21.6060863910
600,-22.5822416833
700,-23.0798205905
800,-14.7757070505
900,-16.0442121571
1000,-22.1097751903
1100,-22.5559271642
1200,-16.9597193910
1300,-22.7282018477
1400,-23.2987171001
1500,-18.8770281904
1600,-19.4192859163
1700,-15.2548474378
1800,-22.1509917186
1900,-22.1598138013
2000,-18.2742430882
2100,-17.5009885039
2200,-18.0315695218
2300,-17.4692702387
2400,-21.1902376691
2500,-25.4258512507
2600,-22.9218441218
2700,-23.3959267117
2800,-15.5500681738
2900,-15.3724422330
3000,-23.2469433010
3100,-20.6308261733
3200,-17.6880955993
3300,-15.4991557570
3400,-18.5282963688
3500,-18.0763161696
3600,-18.1788631760
3700,-12.8608140932
3800,-17.7950601185
3900,-18.9484710812
4000,-17.0719138102
4100,-16.5255386614
4200,-13.2823140374
4300,-15.3222828412
4400,-21.9749068084
4500,-24.2022559262
4600,-17.3009366764
4700,-14.9250983427
4800,-17.9730358892
4900,-19.8439624432
5000,-15.6804614796
5100,-22.5452070980
5200,-15.0300069748
5300,-11.8670403830
5400,-11.0711568598
5500,-17.5908856741
5600,-10.7325477116
5700,-16.1554004480
5800,-12.7475897165
5900,-22.3364795623
6000,-12.2011569915
6100,-12.8697693489
6200,-16.4118470664
6300,-15.8148597889
6400,-21.1919037953
6500,-11.2800755953
6600,-10.7250580304
6700,-12.6825121869
6800,-16.1786178067
6900,-15.9857930953
7000,-20.0200613197
7100,-12.6727977075
7200,-12.0256136969
7300,-11.9601840099
7400,-14.7910609746
7500,-15.4257176601
7600,-9.9033767977
7700,-11.1251567521
7800,-15.3500315166
7900,-13.3098891172
8000,-11.6137208172
8100,-16.7095398140
8200,-10.5111780960
8300,-14.7849577172
8400,-16.0850816013
8500,-16.6057837598
8600,-12.1422456310
8700,-14.1443158937
8800,-14.9070324867
8900,-12.6444081836
9000,-17.1663976664
9100,-16.6913798581
9200,-20.1481977757
9300,-9.5774689156
9400,-10.2967665914
9500,-13.1133546480
9600,-23.7215682872
9700,-13.4212418853
9800,-16.7258158922
9900,-7.8208274246
10000,-15.9128494472
10100,-13.6379573620
10200,-21.5441205084
10300,-12.7059407978
10400,-16.6801558603
10500,-8.3111127162
10600,-17.6994469281
10700,-14.4201900513
10800,-11.4463698452
10900,-14.3446047475
11000,-10.1608037062
11100,-10.9701824111
11200,-18.8166424984
11300,-14.5308942761
11400,-13.6560893803
11500,-10.8279406432
11600,-12.6106943903
11700,-10.7388004607
11800,-16.9165175978
11900,-13.8778649093
12000,-14.7891458522
12100,-14.2874162180
12200,-10.0807002882
12300,-9.5584619322
12400,-9.0786270818
12500,-11.4613934014
12600,-13.1323190583
12700,-12.7429059678
12800,-13.6739787478
12900,-10.6554686308
13000,-11.0643919981
13100,-12.1606333346
13200,-9.5508210346
13300,-14.5232076960
13400,-11.0650909379
13500,-11.8883371520
13600,-11.4793459246
13700,-11.2062334293
13800,-12.4254574898
13900,-9.3354007551
14000,-10.4828303159
14100,-19.1847390662
14200,-6.6426089771
14300,-8.7707744517
14400,-18.4986247460
